Формулировка,Число запросов,,Формулировка,Число запросов,,Формулировка,Число запросов,,Формулировка,Число запросов,,Формулировка,Число запросов,,Формулировка,Число запросов,,Формулировка,Число запросов,,Формулировка,Число запросов,,Формулировка,Число запросов
bts,292 949,,чимин,115673,,техен,34045,,шуга,70 924,,джин,1 098 489,,намджун,19 852,,j hope,14 728,,jungkook,25 667,,weverse,5 418
bts песни,30 813,,чимин бтс,14421,,техен последние новости,8667,,шуга песни,12 871,,порно джина,65 572,,ким намджун,6 069,,j hope girl,3 965,,jungkook скачать,5 024,,weverse live,554
группа bts,27 892,,чимин и чонгук,10728,,техен и чонгук,7173,,шуг,6 437,,джин тоник,43 412,,намджун бтс,2 514,,j hope скачать,2 933,,jungkook песни,3 882,,,
bts скачать,27 127,,пак чимин,8454,,ким техен,5911,,шуг шуга,6 437,,джин тонике,43 412,,намджун песни,1 073,,j hope killin it,2 900,,jungkook seven,3 684,,,
bts перевод,11 260,,чимин песни,7356,,техен сегодня,5363,,шуга бтс,6 305,,джин фильм,37 902,,,,,killin it girl j hope,2 849,,still with you jungkook,3 285,,,
скачать песни bts,10 745,,чимин день,7192,,техен 2025,5337,,шуга и чонгук,6 016,,эльза джин,32 250,,,,,spaghetti j hope,1 883,,jungkook перевод,2 978,,,
bts новости,10 455,,чимин 2025,7190,,новости о техене,4678,,шуга скачать,5 721,,ву джин,29 026,,,,,j hope песни,1 835,,jungkook текст,2 681,,,
корейская группа bts,9 488,,рождение чимина,7142,,техен новости на сегодня,4609,,бурита шуга,3 444,,дорама джин,27 470,,,,,le sserafim j hope,1 219,,next to you jungkook,1 832,,,
bts участники,8 619,,чимин новости,6783,,бтс техен,4104,,бурита шуга шуга бурито,3 401,,ли джин,24 732,,,,,spaghetti le sserafim j hope,1 068,,jungkook stand,1 815,,,
bts run,8 526,,день рождения чимина,6703,,техен последние новости на сегодня,3943,,шуга шуга бурито,3 401,,пила джина,24 559,,,,,j hope kill,1 044,,jungkook standing,1 815,,,
bts running,8 526,,чимин последние новости,4612,,техен и чонгук последние,3517,,скачать песню шуга,3 192,,пит джина,24 530,,,,,джейхоуп,118,,standing next to you jungkook,1 800,,,
bts слушать,7 642,,чимин лет,3769,,техен и чонгук последние новости,3336,,песня чонгука и шуги,3 169,,джин барристер,23 337,,,,,перевод песни джейхоупа спагетти,9,,скачать песню jungkook,1 587,,,
